ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice,Supplier,LaunchDate,ProductStatus
PROD00298,BreezeCool Desert 3,Home Appliances,Air Cooler,Godrej,52350.00,67800.00,Urban Retail Supply,2024-11-27,Active
PROD00101,NexPhone X1 1,Mobile & Accessories,Smartphone,Lenovo,44390.00,56300.00,Global Tech Distributors,2023-11-08,Active
PROD00247,WashPro 7KG 2,Home Appliances,Washing Machine,Lenovo,36200.00,42700.00,Metro Wholesale,20/10/2025,Active
PROD00493,PowerGuard 1500 3,Office Equipment,UPS,Godrej,19960.00,26100.00,Bharat Electronics Supply,2024-08-04,Active
PROD00304,ErgoOffice Basic 4,Furniture,Office Chair,Dell,36870.00,43900.00,Eastern Trade Links,2023-08-26,Active
PROD00015,NexBook Business 15 5,Electronics,Laptop,Dyson,73690.00,96800.00,Western Trade House,2024-08-19,Active
PROD00237,PowerCool Inverter 2,Home Appliances,Air Conditioner,NexTech,13280.00,16000.00,Global Tech Distributors,2024-03-01,Active
PROD00212,CoolMax DoubleDoor 2,Home Appliances,Refrigerator,Logitech,35390.00,43200.00,Western Trade House,2025-05-23,Active
PROD00013,NexBook Business 15 3,Electronics,Laptop,Samsung,72460.00,97400.00,South India Distribution,2025-10-05,Active
PROD00271,HeatWave Grill 1,Home Appliances,Microwave,Sony,82240.00,95000.00,,2022-09-23,Active
PROD00341,Comfort Sofa 2S 1,Furniture,Sofa,HP,20680.00,28000.00,Prime Distribution India,2024-09-18,Active
PROD00485,PowerGuard 600 5,Office Equipment,UPS,Whirlpool,1980.00,2800.00,Metro Wholesale,2025-08-04,Active
PROD00037,ViewMax Office 22 2,Electronics,Monitor,Lenovo,57510.00,89800.00,Prime Distribution India,2022-04-03,Active
PROD00329,WorkDesk 150 4,Furniture,Desk,Dell,42950.00,50500.00,Eastern Trade Links,2026-01-14,Active
PROD00061,PixelShot 200 1,Electronics,Camera,IFB,22690.00,30900.00,Eastern Trade Links,2026-01-17,Discontinued
PROD00390,OfficeCab 3Door 5,Furniture,Cabinet,Voltas,19650.00,26400.00,Eastern Trade Links,2023-12-26,Discontinued
PROD00112,NexPhone Pro 2,Mobile & Accessories,Smartphone,Epson,28860.00,43600.00,Eastern Trade Links,2022-03-17,Active
PROD00137,AirSound Max 2,Mobile & Accessories,Earbuds,HP,19540.00,27400.00,Global Tech Distributors,2023-01-23,Active
PROD00293,BreezeCool Tower 3,Home Appliances,Air Cooler,Dell,46550.00,66300.00,Metro Wholesale,2022-07-26,Active
PROD00172,PowerGo Slim 2,Mobile & Accessories,Power Bank,Ikea,35880.00,43000.00,Prime Distribution India,2025-01-31,Active
PROD00286,BreezeCool 30L 1,Home Appliances,Air Cooler,Whirlpool,18920.00,24300.00,Global Tech Distributors,2024-06-26,Discontinued
PROD00244,WashPro 6KG 4,Home Appliances,Washing Machine,Whirlpool,66920.00,107100.00,Western Trade House,2024-12-30,Active
PROD00021,ViewMax 24 1,Electronics,Monitor,Whirlpool,35390.00,46500.00,Western Trade House,2022-07-21,Active
PROD00006,NexBook Air 13 1,Electronics,Laptop,Godrej,76740.00,102800.00,Metro Wholesale,2022-06-06,Active
PROD00241,WashPro 6KG 1,Home Appliances,Washing Machine,Dell,20940.00,24900.00,Metro Wholesale,2025-02-05,Active
PROD00010,NexBook Air 13 5,Electronics,Laptop,Philips,47930.00,71400.00,Global Tech Distributors,2025-05-14,Active
PROD00143,FastCharge 20W 3,Mobile & Accessories,Charger,Canon,49060.00,62100.00,Metro Wholesale,2024-12-12,Active
PROD00358,Comfort Sofa Premium 3,Furniture,Sofa,Canon,23050.00,31800.00,Urban Retail Supply,2022-06-23,Active
PROD00471,SecureCut CrossCut 1,Office Equipment,Shredder,Logitech,55040.00,79900.00,South India Distribution,2024-07-04,Active
PROD00099,SoundBeat Home 4,Electronics,Speaker,Boat,78570.00,98900.00,Bharat Electronics Supply,2024-04-18,Active
PROD00017,NEXBOOK STUDIO 16 2,Electronics,Laptop,Epson,71830.00,110500.00,Apex Supply Co,2024-06-05,Active
PROD00134,AirSound Mini 4,Mobile & Accessories,Earbuds,Voltas,17650.00,28100.00,Western Trade House,2025-07-12,Active
PROD00170,PowerGo 20000 5,Mobile & Accessories,Power Bank,Canon,11200.00,12800.00,Eastern Trade Links,2022-06-02,Active
PROD00166,PowerGo 20000 1,Mobile & Accessories,Power Bank,Acer,43740.00,65600.00,Western Trade House,2025-01-14,Active
PROD00189,NexWatch Pro 4,Mobile & Accessories,Smartwatch,Asus,30320.00,46300.00,Western Trade House,2024-07-15,Active
PROD00383,OfficeCab 2Door 3,Furniture,Cabinet,Dyson,28500.00,42500.00,Metro Wholesale,2022-12-03,Discontinued
PROD00051,SmartView 65 1,Electronics,Television,IFB,30030.00,41300.00,Urban Retail Supply,2022-05-11,Active
PROD00265,HeatWave 20L 5,Home Appliances,Microwave,Acer,63890.00,98400.00,National Consumer Products,2023-11-09,Active
PROD00365,BookSpace 4Tier 5,Furniture,Bookshelf,HP,43980.00,60000.00,Prime Distribution India,2024-09-28,Active
PROD00093,SoundBeat Tower 3,Electronics,Speaker,Godrej,38450.00,46100.00,Urban Retail Supply,2024-08-06,Active
PROD00206,CoolMax 350L 1,Home Appliances,Refrigerator,Philips,8190.00,10700.00,Urban Retail Supply,2022-05-06,Active
PROD00442,VisionCast 3000 2,Office Equipment,Projector,Voltas,8780.00,14000.00,Prime Distribution India,2025-07-14,Active
PROD00323,WorkDesk 120 3,Furniture,Desk,Asus,14310.00,16800.00,Prime Distribution India,2022-06-06,Active
PROD00313,ErgoOffice Executive 3,Furniture,Office Chair,Godrej,37220.00,43700.00,Urban Retail Supply,2022-07-12,Active
PROD00335,WorkDesk Executive 5,Furniture,Desk,Dyson,40870.00,48700.00,Apex Supply Co,2025-07-10,Active
PROD00367,BookSpace 5Tier 2,Furniture,Bookshelf,HP,4660.00,6200.00,Urban Retail Supply,2022-12-17,Active
PROD00489,PowerGuard 1000 4,Office Equipment,UPS,LG,17090.00,26300.00,Urban Retail Supply,2024-10-13,Active
PROD00020,NexBook Studio 16 5,Electronics,Laptop,JBL,70180.00,105500.00,Prime Distribution India,2024-06-08,Active
PROD00221,PowerCool 1.0T 1,Home Appliances,Air Conditioner,Voltas,36570.00,53100.00,Prime Distribution India,2023-05-30,Active
PROD00303,ErgoOffice Basic 3,Furniture,Office Chair,HP,2600.00,3500.00,Apex Supply Co,04/01/2026,Discontinued
PROD00366,BookSpace 5Tier 1,Furniture,Bookshelf,Ikea,7710.00,10800.00,South India Distribution,2025-06-23,Active
PROD00110,NexPhone X2 5,Mobile & Accessories,Smartphone,Samsung,18420.00,25000.00,Bharat Electronics Supply,2024-11-17,Discontinued
PROD00247,WASHPRO 7KG 2,Home Appliances,Washing Machine,Lenovo,36200.00,42700.00,Metro Wholesale,20/10/2025,Active
PROD00046,SmartView 55 1,Electronics,Television,NexTech,33720.00,51100.00,South India Distribution,2023-12-22,Active
PROD00119,NexPhone Lite 4,Mobile & Accessories,Smartphone,Asus,52050.00,69900.00,South India Distribution,2024-02-24,Active
PROD00497,PowerGuard Online 2,OFFICE EQUIPMENT,UPS,NexTech,54750.00,82800.00,Bharat Electronics Supply,2023-03-08,Active
PROD00266,HeatWave 25L 1,Home Appliances,Microwave,Asus,23200.00,27000.00,National Consumer Products,2022-12-27,Active
PROD00187,NexWatch Pro 2,Mobile & Accessories,Smartwatch,Acer,43350.00,51200.00,Global Tech Distributors,2023-11-18,Active
PROD00027,ViewMax 27 2,Electronics,Monitor,Dell,4550.00,5700.00,Bharat Electronics Supply,2025-04-09,Active
PROD00023,ViewMax 24 3,Electronics,Monitor,LG,72960.00,90000.00,National Consumer Products,17/10/2024,Active
PROD00425,ScanFast 200 5,Office Equipment,Scanner,Sony,32360.00,44300.00,Bharat Electronics Supply,2024-10-18,Active
PROD00458,VisionCast Pro 3,Office Equipment,Projector,Ikea,63570.00,86400.00,Metro Wholesale,2025-09-16,Active
PROD00320,ErgoOffice Mesh 5,Furniture,Office Chair,HP,33810.00,52500.00,Urban Retail Supply,2023-07-08,Active
PROD00465,securecut 10 5,Office Equipment,Shredder,Epson,17270.00,22300.00,Eastern Trade Links,2023-07-19,Active
PROD00314,ErgoOffice Executive 4,Furniture,Office Chair,Godrej,4950.00,6500.00,National Consumer Products,2022-02-10,Active
PROD00064,PixelShot 200 4,Electronics,Camera,Philips,43240.00,55300.00,Eastern Trade Links,2024-05-12,Active
PROD00160,PowerCharge GaN 5,Mobile & Accessories,Charger,Lenovo,55980.00,83400.00,Bharat Electronics Supply,2025-02-25,Active
PROD00428,ScanFast 400 3,Office Equipment,Scanner,HP,29150.00,37200.00,Bharat Electronics Supply,2025-02-01,Active
PROD00156,PowerCharge GaN 1,MOBILE & ACCESSORIES,Charger,Sony,58420.00,74500.00,Western Trade House,2023-03-21,Active
PROD00181,NexWatch Fit 1,Mobile & Accessories,Smartwatch,Whirlpool,15930.00,20400.00,South India Distribution,2025-07-04,Active
PROD00140,AirSound Max 5,Mobile & Accessories,Earbuds,Voltas,40370.00,64700.00,Western Trade House,2022-08-09,Active
PROD00117,NexPhone Lite 2,Mobile & Accessories,Smartphone,LG,42300.00,67500.00,Urban Retail Supply,2025-05-05,Active
PROD00126,SoundBeat Buds Pro 1,Mobile & Accessories,Earbuds, Voltas ,13320.00,17500.00,Eastern Trade Links,2023-01-18,Active
PROD00473,SecureCut CrossCut 3,Office Equipment,Shredder,Godrej,6790.00,8000.00,Bharat Electronics Supply,2025-05-04,Active
PROD00071,PixelShot Pro 1,Electronics,Camera,Godrej,61180.00,97700.00,Apex Supply Co,2023-04-22,Active
PROD00436,ScanFast Pro 1,Office Equipment,Scanner,Voltas,58580.00,92600.00,Apex Supply Co,2022-02-18,Active
PROD00467,SecureCut 15 2,Office Equipment,Shredder,LG,33410.00,53700.00,Bharat Electronics Supply,2023-11-25,Active
PROD00148,FastCharge 45W 3,Mobile & Accessories,Charger,NexTech,4660.00,6800.00,Western Trade House,2022-05-26,Active
PROD00399,OfficeCab Storage 4,FURNITURE,Cabinet,Dyson,34190.00,39700.00,Apex Supply Co,2022-01-23,Active
PROD00184,NexWatch Fit 4,MOBILE & ACCESSORIES,Smartwatch,Asus,40710.00,59200.00,Urban Retail Supply,2024-04-20,Active
PROD00290,BreezeCool 30L 5,Home Appliances,Air Cooler,Epson,3410.00,5200.00,Eastern Trade Links,2024-10-18,Active
PROD00210,CoolMax 350L 5,Home Appliances,Refrigerator,Sony,,93600.00,Metro Wholesale,2022-06-05,Active
PROD00345,Comfort Sofa 2S 5,Furniture,Sofa,Philips,17430.00,28000.00,Global Tech Distributors,2022-01-09,Active
PROD00070,PixelShot 400 5,Electronics,Camera,Dyson,27880.00,36800.00,Eastern Trade Links,2023-03-31,Active
PROD00344,Comfort Sofa 2S 4,Furniture,Sofa,HP,3350.00,4200.00,Eastern Trade Links,2025-01-09,Active
PROD00397,OfficeCab Storage 2,Furniture,Cabinet,Asus,11900.00,17000.00,Bharat Electronics Supply,2024-10-04,Active
PROD00326,WorkDesk 150 1,Furniture,Desk,Dell,29770.00,41900.00,National Consumer Products,2022-08-28,Active
PROD00152,FastCharge 65W 2,Mobile & Accessories,Charger,Sony,58830.00,77800.00,Prime Distribution India,2024-02-21,Active
PROD00069,PixelShot 400 4,Electronics,Camera,Asus,35560.00,49700.00,Prime Distribution India,13/10/2023,Active
PROD00386,OfficeCab 3Door 1,Furniture,Cabinet,Dyson,14500.00,17600.00,Bharat Electronics Supply,2024-02-23,Active
PROD00331,WORKDESK EXECUTIVE 1,Furniture,Desk,Lenovo,23250.00,34500.00,Global Tech Distributors,2024-12-26,Active
PROD00439,ScanFast Pro 4,Office Equipment,Scanner,Boat,25650.00,32600.00,Eastern Trade Links,2025-06-07,Discontinued
PROD00469,SecureCut 15 4,Office Equipment,Shredder,Voltas,53150.00,75500.00,Western Trade House,2025-12-27,Active
PROD00441,VisionCast 3000 1,Office Equipment,Projector,Godrej,33130.00,48200.00,Urban Retail Supply,2023-09-17,Active
PROD00299,BreezeCool Desert 4,Home Appliances,Air Cooler,Logitech,52480.00,63300.00,Eastern Trade Links,2025-01-28,Active
PROD00039,ViewMax Office 22 4,Electronics,Monitor,Dell,66500.00,89600.00,Eastern Trade Links,2024-11-24,Active
PROD00226,PowerCool 1.5T 1,Home Appliances,Air Conditioner,Havells,55730.00,73200.00,Western Trade House,2025-10-16,Active
PROD00355,comfort sofa lshape 5,Furniture,Sofa,Dell,4120.00,5900.00,Apex Supply Co,10/11/2022,Active
PROD00230,PowerCool 1.5T 5,Home Appliances,Air Conditioner,NexTech,69060.00,101600.00,Urban Retail Supply,2023-08-11,Active
PROD00317,ErgoOffice Mesh 2,Furniture,Office Chair,IFB,46840.00,58800.00,Urban Retail Supply,2022-05-15,Active
PROD00423,ScanFast 200 3,Office Equipment,Scanner,Lenovo,15430.00,20200.00,Apex Supply Co,2024-09-14,Active
PROD00464,SecureCut 10 4,Office Equipment,Shredder,NexTech,30420.00,36800.00,Metro Wholesale,2022-04-04,Active
PROD00083,SoundBeat Mini 3,ELECTRONICS,Speaker,Voltas,75660.00,111400.00,Western Trade House,2025-01-05,Active
PROD00045,SmartView 43 5,Electronics,Television,Canon,,89600.00,Eastern Trade Links,2025-01-21,Active
PROD00459,VisionCast Pro 4,Office Equipment,Projector,Dell,38120.00,46600.00,Eastern Trade Links,2025-02-15,Active
PROD00270,HeatWave 25L 5,Home Appliances,Microwave,Philips,79900.00,100100.00,Apex Supply Co,2022-07-07,Active
PROD00360,Comfort Sofa Premium 5,Furniture,Sofa,Ikea,21670.00,28300.00,Eastern Trade Links,2025-08-06,Active
PROD00003,NexBook Pro 14 3,Electronics,Laptop,Epson,70210.00,103400.00,South India Distribution,2024-06-22,Active
PROD00252,WashPro 8KG 2,Home Appliances,Washing Machine,Boat,72210.00,100300.00,South India Distribution,2022-03-29,Active
PROD00462,SecureCut 10 2,Office Equipment,Shredder,HP,45740.00,60300.00,Apex Supply Co,2022-09-27,Active
PROD00486,PowerGuard 1000 1,Office Equipment,UPS,Voltas,25160.00,30200.00,Bharat Electronics Supply,2024-04-30,Active
PROD00086,SoundBeat Pro 1,Electronics,Speaker, LG ,42630.00,53200.00,South India Distribution,2024-12-25,Active
PROD00395,OfficeCab Filing 5,Furniture,Cabinet,Dyson,19800.00,27800.00,Apex Supply Co,2025-01-12,Active
PROD00350,Comfort Sofa 3S 5,Furniture,Sofa,Epson,7060.00,8300.00,Western Trade House,2022-02-23,Active
PROD00114,NexPhone Pro 4,Mobile & Accessories,Smartphone,Lenovo,39550.00,48900.00,National Consumer Products,2026-02-08,Active
PROD00296,BreezeCool Desert 1,Home Appliances,Air Cooler,Epson,37680.00,47200.00,Prime Distribution India,2025-01-20,Discontinued
PROD00318,ErgoOffice Mesh 3,Furniture,Office Chair,Sony,4070.00,5900.00,Bharat Electronics Supply,2022-04-19,Active
PROD00422,ScanFast 200 2,Office Equipment,Scanner,Logitech,64420.00,77300.00,Western Trade House,2025-06-05,Active
PROD00495,PowerGuard 1500 5,Office Equipment,UPS,Godrej,56460.00,79600.00,Apex Supply Co,2023-02-08,Active
PROD00132,AirSound Mini 2,Mobile & Accessories,Earbuds,Philips,47620.00,57500.00,Bharat Electronics Supply,2022-12-16,Active
PROD00098,SoundBeat Home 3,Electronics,Speaker,Asus,31780.00,43500.00,Prime Distribution India,2025-07-20,Active
PROD00116,NexPhone Lite 1,Mobile & Accessories,Smartphone,Ikea,48000.00,70500.00,South India Distribution,2023-09-04,Discontinued
PROD00400,OfficeCab Storage 5,Furniture,Cabinet,LG,28110.00,36600.00,National Consumer Products,2022-05-19,Discontinued
PROD00174,PowerGo Slim 4,Mobile & Accessories,Power Bank,IFB,43050.00,67800.00,South India Distribution,2022-06-20,Active
PROD00419,PrintPro Color 4,Office Equipment,Printer,IFB,48750.00,61600.00,Bharat Electronics Supply,2023-10-03,Active
PROD00240,PowerCool Inverter 5,Home Appliances,Air Conditioner,Sony,63450.00,73700.00,Urban Retail Supply,2023-04-07,Active
PROD00380,BookSpace Compact 5,Furniture,Bookshelf,Godrej,5260.00,6700.00,Urban Retail Supply,2023-12-28,Discontinued
PROD00435,ScanFast Duplex 5,Office Equipment,Scanner,Boat,40350.00,51900.00,Eastern Trade Links,2025-08-25,Active
PROD00470,SecureCut 15 5,Office Equipment,Shredder,Voltas,49100.00,72500.00,Eastern Trade Links,2023-02-03,Active
PROD00403,PrintPro 120 3,Office Equipment,Printer,Ikea,31060.00,49100.00,Metro Wholesale,2026-02-04,Active
PROD00438,ScanFast Pro 3,Office Equipment,Scanner,HP,34430.00,53400.00,Urban Retail Supply,2025-07-02,Discontinued
PROD00176,PowerGo Pro 1,Mobile & Accessories,Power Bank,Havells,53580.00,76200.00,Western Trade House,2025-03-06,Active
PROD00139,AirSound Max 4,Mobile & Accessories,Earbuds,Whirlpool,37740.00,48600.00,Apex Supply Co,2024-09-03,Active
PROD00392,OfficeCab Filing 2,Furniture,Cabinet,LG,24560.00,36600.00,Apex Supply Co,2024-05-13,Active
PROD00025,ViewMax 24 5,Electronics,Monitor,Logitech,48840.00,76600.00,,2022-06-20,Active
PROD00379,BookSpace Compact 4,Furniture,Bookshelf,IFB,31750.00,49200.00,Apex Supply Co,2023-08-09,Discontinued
PROD00253,WashPro 8KG 3,Home Appliances,Washing Machine,Epson,69500.00,92300.00,Urban Retail Supply,2024-05-28,Active
PROD00349,Comfort Sofa 3S 4,Furniture,Sofa,Canon,21490.00,29400.00,South India Distribution,2023-05-24,Active
PROD00311,ErgoOffice Executive 1,Furniture,Office Chair,Dyson,24750.00,33300.00,Global Tech Distributors,2022-10-15,Discontinued
PROD00275,HeatWave Grill 5,Home Appliances,Microwave,Boat,15730.00,19400.00,Eastern Trade Links,2023-06-30,Active
PROD00106,NexPhone X2 1,Mobile & Accessories,Smartphone,Dyson,42200.00,49100.00,Prime Distribution India,2025-11-19,Active
PROD00024,ViewMax 24 4,Electronics,Monitor, Philips ,18470.00,24200.00,,2022-01-29,Active
PROD00100,SoundBeat Home 5,Electronics,Speaker,Ikea,83060.00,116100.00,Western Trade House,2025-09-29,Active
PROD00146,FastCharge 45W 1,Mobile & Accessories,Charger,Havells,46880.00,63400.00,Eastern Trade Links,2022-11-10,Active
PROD00094,SoundBeat Tower 4,Electronics,Speaker,Voltas,38960.00,58700.00,Eastern Trade Links,2025-04-23,Active
PROD00219,FrostFree Pro 4,Home Appliances,Refrigerator,Godrej,77650.00,91100.00,Global Tech Distributors,2024-02-03,Active
PROD00387,OfficeCab 3Door 2,Furniture,Cabinet,Logitech,15400.00,23400.00,Urban Retail Supply,2022-07-16,Active
PROD00479,SecureCut Pro 4,Office Equipment,Shredder,IFB,25250.00,36800.00,Apex Supply Co,2023-07-24,Active
PROD00404,PrintPro 120 4,Office Equipment,Printer,JBL,6700.00,9700.00,Western Trade House,2023-12-18,Active
PROD00186,NexWatch Pro 1,Mobile & Accessories,Smartwatch,Godrej,19760.00,30200.00,Metro Wholesale,2025-09-23,Active
PROD00245,WashPro 6KG 5,Home Appliances,Washing Machine, Voltas ,22320.00,32200.00,Prime Distribution India,2024-08-28,Active
PROD00255,WashPro 8KG 5,HOME APPLIANCES,Washing Machine,Voltas,82960.00,107000.00,Prime Distribution India,2022-06-15,Active
PROD00377,BookSpace Compact 2,Furniture,Bookshelf,Havells,16080.00,24200.00,Global Tech Distributors,2025-12-09,Discontinued
PROD00088,SoundBeat Pro 3,Electronics,Speaker,Godrej,28350.00,39400.00,Bharat Electronics Supply,2025-08-19,Active
PROD00340,WORKDESK COMPACT 5,Furniture,Desk,Acer,14470.00,17500.00,South India Distribution,2024-08-11,Discontinued
PROD00149,FastCharge 45W 4,Mobile & Accessories,Charger,Sony,30930.00,44600.00,,2023-09-21,Discontinued
PROD00151,FastCharge 65W 1,Mobile & Accessories,Charger,Philips,4590.00,6100.00,National Consumer Products,2025-05-04,Active
PROD00205,CoolMax 250L 5,Home Appliances,Refrigerator,Boat,66730.00,106800.00,Bharat Electronics Supply,2022-09-26,Active
PROD00429,ScanFast 400 4,Office Equipment,Scanner,Epson,13880.00,16900.00,Apex Supply Co,2026-01-31,Active
PROD00129,SoundBeat Buds Pro 4,Mobile & Accessories,Earbuds,Canon,45340.00,54000.00,Western Trade House,2023-10-27,Active
PROD00388,OfficeCab 3Door 3,Furniture,Cabinet,Whirlpool,9560.00,11800.00,Western Trade House,2023-09-14,Active
PROD00281,BreezeCool 20L 1,Home Appliances,Air Cooler,Samsung,24900.00,28600.00,Bharat Electronics Supply,2024-12-11,Discontinued
PROD00378,BookSpace Compact 3,Furniture,Bookshelf,LG,39050.00,62700.00,South India Distribution,2022-05-25,Active
PROD00138,AirSound Max 3,Mobile & Accessories,Earbuds,NexTech,45430.00,72400.00,Apex Supply Co,2025-08-20,Active
PROD00031,ViewMax Ultra 32 1,Electronics,Monitor,Lenovo,47580.00,54300.00,Metro Wholesale,2022-08-06,Active
PROD00155,FastCharge 65W 5,Mobile & Accessories,Charger,Logitech,3230.00,4100.00,Western Trade House,2024-11-30,Active
PROD00128,SoundBeat Buds Pro 3,Mobile & Accessories,Earbuds,NexTech,32980.00,40100.00,Metro Wholesale,2024-01-16,Active
PROD00077,PixelShot Mirrorless 2,Electronics,Camera, NexTech ,61680.00,74900.00,South India Distribution,2025-11-25,Active
PROD00201,CoolMax 250L 1,Home Appliances,Refrigerator,Philips,26520.00,33300.00,Metro Wholesale,2022-01-08,Active
PROD00443,VisionCast 3000 3,Office Equipment,Projector,NexTech,73220.00,84100.00,Global Tech Distributors,2022-05-20,Active
PROD00019,NexBook Studio 16 4,ELECTRONICS,Laptop,Epson,33430.00,52200.00,Bharat Electronics Supply,2023-06-17,Active
PROD00215,CoolMax DoubleDoor 5,Home Appliances,Refrigerator,Canon,18810.00,23900.00,Apex Supply Co,2024-11-25,Active
PROD00451,VisionCast Mini 1,Office Equipment,Projector,Asus,29190.00,38900.00,Metro Wholesale,2023-09-24,Active
PROD00475,SecureCut CrossCut 5,Office Equipment,Shredder,Acer,51600.00,67200.00,Metro Wholesale,2025-04-04,Active
PROD00328,WorkDesk 150 3,Furniture,Desk,JBL,19890.00,28900.00,Urban Retail Supply,2022-05-15,Active
PROD00287,BreezeCool 30L 2,Home Appliances,Air Cooler,Epson,12200.00,15400.00,South India Distribution,2023-12-21,Active
PROD00191,NexWatch Active 1,Mobile & Accessories,Smartwatch,Ikea,65090.00,76800.00,Prime Distribution India,2024-02-08,Active
PROD00180,PowerGo Pro 5,Mobile & Accessories,Power Bank, Whirlpool ,15480.00,20000.00,South India Distribution,2023-06-01,Active
PROD00197,NexWatch Classic 2,Mobile & Accessories,Smartwatch,Voltas,3830.00,4500.00,South India Distribution,2023-03-17,Active
PROD00257,WashPro FrontLoad 2,Home Appliances,Washing Machine,Epson,14140.00,21600.00,Urban Retail Supply,2024-08-26,Active
PROD00043,SmartView 43 3,Electronics,Television,IFB,55170.00,73100.00,Western Trade House,2022-09-03,Active
PROD00196,NexWatch Classic 1,Mobile & Accessories,Smartwatch,Havells,31840.00,48400.00,Global Tech Distributors,2023-05-15,Active
PROD00203,CoolMax 250L 3,Home Appliances,Refrigerator,Lenovo,78810.00,107100.00,Eastern Trade Links,2024-09-21,Active
PROD00384,OfficeCab 2Door 4,Furniture,Cabinet,Boat,33330.00,44500.00,South India Distribution,2022-05-02,Active
PROD00040,ViewMax Office 22 5,Electronics,Monitor,HP,60560.00,91700.00,Western Trade House,2024-03-09,Active
PROD00053,SmartView 65 3,Electronics,Television,Philips,6060.00,7000.00,Metro Wholesale,2023-04-27,Active
PROD00238,PowerCool Inverter 3,Home Appliances,Air Conditioner,LG,2980.00,3800.00,Western Trade House,2025-10-04,Active
PROD00477,SecureCut Pro 2,Office Equipment,Shredder,Dell,20950.00,26900.00,Global Tech Distributors,2025-12-16,Active
PROD00351,Comfort Sofa LShape 1,Furniture,Sofa,Havells,40500.00,54000.00,Eastern Trade Links,2025-10-02,Active
PROD00052,SmartView 65 2,Electronics,Television, HP ,31890.00,39200.00,Apex Supply Co,2022-01-29,Active
PROD00092,SoundBeat Tower 2,Electronics,Speaker,Boat,38610.00,48500.00,Bharat Electronics Supply,2026-01-22,Active
PROD00322,WorkDesk 120 2,Furniture,Desk,Dyson,18190.00,29100.00,Urban Retail Supply,2022-02-02,Active
