StoreID,StoreName,StoreType,City,State,Region,SalesChannel,ManagerEmployeeID,StoreStatus
STORE021,NexMart Chennai Flagship 1,Flagship,Chennai,Tamil Nadu,South,Omnichannel,EMP0247,Active
STORE006,NexMart Ranchi Standard 1,Standard,Ranchi,Jharkhand,East,Omnichannel,EMP0081,Active
STORE028,NexMart Bhubaneswar Standard 2,Standard,Bhubaneswar,Odisha,East,Omnichannel,EMP0078,Active
STORE012,NexMart Vadodara Express 1,Express,Vadodara,Gujarat,West,Physical Store,EMP0038,Temporarily Closed
STORE047,NexMart Coimbatore Standard 2,Standard,Coimbatore,Tamil Nadu,South,Omnichannel,EMP0088,Temporarily Closed
STORE031,NexMart Ranchi Standard 2,Standard,Ranchi,Jharkhand,East,Physical Store,EMP0053,Active
STORE034,NexMart Nagpur Outlet 2,Outlet,Nagpur,Maharashtra,West,Physical Store,EMP0299,Active
STORE020,NexMart Mysuru Standard 1,Standard,Mysuru,Karnataka,South,Omnichannel,EMP0245,Active
STORE017,NEXMART CHANDIGARH FLAGSHIP 1,flagship,Chandigarh,Chandigarh,North,Omnichannel,EMP0003,Active
STORE025, NexMart Thiruvananthapuram Express 1 ,Express,Thiruvananthapuram,Kerala,South,Omnichannel,EMP0220,Active
STORE042, NexMart Chandigarh Flagship 2 ,Flagship,Chandigarh,Chandigarh,North,Omnichannel,EMP0108,Active
STORE033,NexMart Pune Outlet 2,Outlet,Pune,Maharashtra,West,Physical Store,EMP0021,Active
STORE041,NexMart Lucknow Express 2,Express,Lucknow,Uttar Pradesh,North,Physical Store,EMP0103,Active
STORE035,NexMart Ahmedabad Express 2,Express,Ahmedabad,Gujarat,West,Omnichannel,EMP0273,Active
STORE045,NexMart Mysuru Standard 2,Standard,Mysuru,Karnataka,SOUTH,Physical Store,EMP0255,Temporarily Closed
STORE022,NexMart Coimbatore Standard 1,Standard,Coimbatore,Tamil Nadu,South,Physical Store,EMP0186,Active
